business,avg_stars,Sentiment_Score_neg,Sentiment_Score_pos,Sentiment_Score_remark
Gilbert Dental Care,5.0,0.042,0.188,Positive Sentiment
Premier Electricians,5.0,0.082,0.2,Positive Sentiment
Autozone,2.5,0.044,0.104,Positive Sentiment
Diamond Street Recycling,1.0,0.103,0.092,Negative Sentiment
The Dental Spa,5.0,0.027,0.18,Positive Sentiment
Tropical Moose Shaved Ice,4.428571428571429,0.068,0.18,Positive Sentiment
Taj Mahal Homestyle Indian & Pakistani Cuisine,4.175,0.045,0.244,Positive Sentiment
McHales,3.6666666666666665,0.098,0.097,Negative Sentiment
Frontenac Grill,2.8461538461538463,0.051,0.184,Positive Sentiment
Philadelphia Photographics,3.692307692307693,0.054,0.15,Positive Sentiment
Advance Appliance Service,5.0,0.053,0.206,Positive Sentiment
ChickeNuevo,2.923076923076923,0.091,0.158,Positive Sentiment
Sonic Drive-In,2.090909090909091,0.103,0.136,Positive Sentiment
The Center For Art In Wood,5.0,0.015,0.171,Positive Sentiment
Cork Wine Bar,3.7916666666666665,0.039,0.246,Positive Sentiment
Thai Delight,3.0,0.122,0.15,Positive Sentiment
CPR Cell Phone Repair Manchester,2.6,0.111,0.145,Positive Sentiment
Helzberg Diamonds,1.3333333333333333,0.144,0.07,Negative Sentiment
Imo's Pizza,2.8,0.055,0.187,Positive Sentiment
Prime 505,3.6666666666666665,0.038,0.217,Positive Sentiment
The Beauty Institute,3.333333333333333,0.049,0.132,Positive Sentiment
McDonald's,2.1818181818181817,0.104,0.099,Negative Sentiment
Frady's One Stop Food Store,4.833333333333333,0.063,0.21,Positive Sentiment
The Dusty Monk,4.5,0.023,0.233,Positive Sentiment
Moreno Bakery,3.7142857142857135,0.037,0.231,Positive Sentiment
Noble Roman's Pizza,3.25,0.023,0.264,Positive Sentiment
Zoes Kitchen,4.0,0.044,0.231,Positive Sentiment
Family Carpets,5.0,0.0,0.324,Positive Sentiment
Noah's Ark Animal Hospital,2.0,0.111,0.091,Negative Sentiment
Smoke Shop Zone,5.0,0.035,0.357,Positive Sentiment
Subway,1.0,0.101,0.043,Negative Sentiment
Palace of Asia,3.725806451612903,0.057,0.199,Positive Sentiment
Genoa Pizza and Grill,3.5454545454545454,0.055,0.183,Positive Sentiment
Happy Pets Inn,5.0,0.03,0.427,Positive Sentiment
The Windsor Suites,3.5873015873015874,0.053,0.199,Positive Sentiment
The Cat Hospital Of Tampa Bay,4.0,0.013,0.28,Positive Sentiment
Corner Landscaping & Tree Service,5.0,0.0,0.273,Positive Sentiment
Anytime Fitness,1.4,0.105,0.092,Negative Sentiment
Bee Nail & Spa,4.25,0.053,0.295,Positive Sentiment
Big Tim's BBQ,2.6,0.075,0.157,Positive Sentiment
Caring Hands Veterinary Clinic,3.333333333333333,0.092,0.139,Positive Sentiment
Back & Neck Care Center Of Webster Groves,4.0,0.052,0.077,Positive Sentiment
Minas Pizza,3.909090909090909,0.053,0.176,Positive Sentiment
Om Eyebrows,5.0,0.045,0.21,Positive Sentiment
Major Appliance Repair Service,2.6666666666666665,0.067,0.056,Negative Sentiment
Roula's Pizza,2.6666666666666665,0.088,0.187,Positive Sentiment
McDonald's,2.0,0.054,0.099,Positive Sentiment
Ashtanga Santa Barbara,5.0,0.026,0.19,Positive Sentiment
"Michael W Thompson, DDS",5.0,0.049,0.178,Positive Sentiment
Gold's Gym,2.333333333333333,0.106,0.146,Positive Sentiment
The UPS Store,3.0,0.0,0.177,Positive Sentiment
Abel's Authentic Mexican Cuisine,3.7586206896551726,0.055,0.214,Positive Sentiment
JAS Himalayan,3.2857142857142856,0.073,0.181,Positive Sentiment
Peekaboo Pediatrics Philadelphia,5.0,0.02,0.205,Positive Sentiment
MyEyeDr,2.0,0.094,0.021,Negative Sentiment
Skippack Sweet Spot,3.8,0.065,0.187,Positive Sentiment
Chez Bow Wow Pet Grooming,4.793103448275862,0.064,0.26,Positive Sentiment
Ming's,3.0,0.046,0.1,Positive Sentiment
Five Hearts Preschool,5.0,0.054,0.147,Positive Sentiment
HouseMaster Home Inspections,5.0,0.027,0.173,Positive Sentiment
Planet Kid Playground At Wings Center,4.0,0.052,0.205,Positive Sentiment
Fisher Strength and Health Gym ,5.0,0.004,0.303,Positive Sentiment
Tom Shell Plumbing,5.0,0.07,0.157,Positive Sentiment
Magic Nails & Spa,2.9375,0.098,0.137,Positive Sentiment
Osborne's Bi-Rite,4.428571428571429,0.044,0.226,Positive Sentiment
Golden Corral Buffet & Grill,3.5789473684210527,0.049,0.233,Positive Sentiment
Compère Lapin,4.239884393063584,0.039,0.25,Positive Sentiment
Marino's Auto Repair,4.0,0.031,0.109,Positive Sentiment
Zen Yai Thai Cuisine,3.851190476190476,0.066,0.223,Positive Sentiment
Bellacino's Pizza & Grinders,3.303030303030303,0.067,0.159,Positive Sentiment
Midwest Appliance & Repair,5.0,0.0,0.174,Positive Sentiment
Zeko's Mediterranean Grill,4.43312101910828,0.03,0.285,Positive Sentiment
M.L.Rose Craft Beer & Burgers - Melrose,3.75,0.061,0.231,Positive Sentiment
CS Cantlin Automotive Mercedes Benz & Luxury Vehicle Service,5.0,0.033,0.222,Positive Sentiment
The Fitness Formula,5.0,0.079,0.257,Positive Sentiment
Elements Spa,4.642857142857143,0.034,0.273,Positive Sentiment
Sheraton Indianapolis Hotel at Keystone Crossing,2.9827586206896552,0.07,0.167,Positive Sentiment
VitaNovu,5.0,0.055,0.322,Positive Sentiment
Lima Fusion,3.5,0.033,0.262,Positive Sentiment
Holiday Inn Express New Orleans East,3.75,0.044,0.198,Positive Sentiment
Anthropologie,4.255813953488372,0.038,0.249,Positive Sentiment
Gynecology Specialists of Philadelphia,4.363636363636363,0.062,0.165,Positive Sentiment
Northwest Collision Center,5.0,0.057,0.202,Positive Sentiment
Golf Galaxy,2.9,0.055,0.137,Positive Sentiment
Reno Events Center,3.473684210526316,0.041,0.186,Positive Sentiment
Starbucks,3.1,0.051,0.161,Positive Sentiment
Benna's West,3.6206896551724137,0.067,0.206,Positive Sentiment
Spikes Deluxe Dog Wash,2.6666666666666665,0.114,0.132,Positive Sentiment
Las Cazuelas Restaurant BYOB,3.9690721649484537,0.044,0.225,Positive Sentiment
"Kristopher Barillas - BHHS Fox & Roach, Realtors",3.6666666666666665,0.049,0.179,Positive Sentiment
Cafe Beignet on Bourbon Street,3.727668845315904,0.056,0.217,Positive Sentiment
Nail Care,4.428571428571429,0.061,0.226,Positive Sentiment
Cozy Corner,4.0,0.059,0.192,Positive Sentiment
Lily of the Valley Cupcakery,4.666666666666667,0.063,0.208,Positive Sentiment
Great American Playhouse,3.615384615384616,0.042,0.24,Positive Sentiment
Western Cycle,4.444444444444445,0.028,0.193,Positive Sentiment
European Wax Center,3.9673202614379086,0.079,0.2,Positive Sentiment
Capital Beer,3.5,0.053,0.213,Positive Sentiment
Tibbs Drive-In Theatre,4.457142857142857,0.031,0.218,Positive Sentiment
Dents Express,4.5,0.008,0.152,Positive Sentiment
Signature Parking,4.307692307692308,0.066,0.198,Positive Sentiment
Zagster,2.333333333333333,0.065,0.09,Positive Sentiment
Baum's Dancewear,3.0,0.047,0.148,Positive Sentiment
Pagoda Noodle Cafe,3.2452830188679247,0.068,0.19,Positive Sentiment
Dong's China Buffet,3.739130434782609,0.037,0.22,Positive Sentiment
Champion Chevrolet,4.5,0.07,0.209,Positive Sentiment
Captain Bill's Oyster Bar,4.282828282828283,0.071,0.246,Positive Sentiment
Katsumi's Teaching Kitchen,4.285714285714286,0.015,0.158,Positive Sentiment
Glazed & Confused,5.0,0.032,0.204,Positive Sentiment
Jazzy Kutz Salon & Boutique,5.0,0.083,0.236,Positive Sentiment
Helena Avenue Bakery,4.209677419354839,0.03,0.266,Positive Sentiment
Blink,4.5,0.042,0.257,Positive Sentiment
Elysian Fields Animal Clinic,4.666666666666667,0.038,0.219,Positive Sentiment
Motel 6,1.4285714285714286,0.134,0.104,Negative Sentiment
New Orleans Arena,3.6538461538461537,0.072,0.206,Positive Sentiment
Jack Patrick's Bar & Grill,3.795918367346939,0.059,0.204,Positive Sentiment
Oranj Sushi Bar,2.625,0.07,0.161,Positive Sentiment
Bui's,4.322033898305085,0.035,0.199,Positive Sentiment
Gary Ray's Texas BBQ,2.5,0.058,0.16,Positive Sentiment
Mini Movers,4.714285714285714,0.046,0.245,Positive Sentiment
Korean Japanese Food & Ware,3.333333333333333,0.082,0.097,Positive Sentiment
Edgewood Family Dental,4.0,0.039,0.233,Positive Sentiment
Over the Womb 4D Ultrasound & Photography,5.0,0.017,0.256,Positive Sentiment
SPELL Style Lounge,4.6,0.044,0.224,Positive Sentiment
Closet & Storage Concepts,5.0,0.0,0.36,Positive Sentiment
Oro Valley Pediatrics,3.5,0.057,0.128,Positive Sentiment
Velvet Vapors,4.6,0.041,0.232,Positive Sentiment
Great Clips,3.0,0.037,0.078,Positive Sentiment
Hyatt's Auto Repair,4.857142857142857,0.032,0.128,Positive Sentiment
Nevada ENT & Hearing Associates,4.166666666666667,0.084,0.111,Positive Sentiment
Beef 'O' Brady's,2.5,0.044,0.152,Positive Sentiment
Tampa Shoe Repair,3.941176470588236,0.053,0.171,Positive Sentiment
Midas,2.2,0.099,0.093,Negative Sentiment
Vincenzo's,3.647058823529412,0.041,0.204,Positive Sentiment
Dwell at Bay Crossing by Pinnacle Family of Companies,1.0,0.089,0.072,Negative Sentiment
Shere-E-Punjab,4.063291139240507,0.044,0.225,Positive Sentiment
Office Depot,3.2,0.072,0.185,Positive Sentiment
Cafe Noir,4.333333333333333,0.041,0.12,Positive Sentiment
Spanky's Sports Bar,3.5,0.028,0.214,Positive Sentiment
River Nails,3.5,0.073,0.168,Positive Sentiment
Dileo's Auto Sales,4.5,0.031,0.189,Positive Sentiment
Honey Hole,3.0,0.032,0.248,Positive Sentiment
House of Beauty,1.6363636363636365,0.111,0.082,Negative Sentiment
My Sugar Pie,4.275862068965517,0.037,0.233,Positive Sentiment
Doggie Style Grooming,5.0,0.027,0.299,Positive Sentiment
Yellow Cab Company,2.0,0.088,0.082,Negative Sentiment
Kindness Animal Hospital,5.0,0.0,0.0,Neutral Sentiment
Cheddar's Scratch Kitchen,2.8552631578947367,0.078,0.154,Positive Sentiment
T-Mobile,5.0,0.0,0.175,Positive Sentiment
B's Diner,4.0,0.057,0.21,Positive Sentiment
Nails By Yen,4.134328358208955,0.044,0.242,Positive Sentiment
City Nails,4.0,0.0,0.151,Positive Sentiment
Beauty Depot,3.4,0.067,0.112,Positive Sentiment
Wards Fine Wines & Liquors,5.0,0.013,0.2,Positive Sentiment
Epiphany Restaurant,3.695652173913044,0.055,0.208,Positive Sentiment
Big Dave's Towing & Roadside Service,2.333333333333333,0.162,0.067,Negative Sentiment
Ratchada Thai Restaurant and Sushi Bar,2.769230769230769,0.092,0.159,Positive Sentiment
Charter Communications,1.25,0.092,0.071,Negative Sentiment
Whataburger,4.6,0.025,0.302,Positive Sentiment
EB Games,3.6666666666666665,0.04,0.153,Positive Sentiment
Bob Kramer’s Marionnettes,5.0,0.009,0.209,Positive Sentiment
Fred Beans Nissan of Doylestown,2.333333333333333,0.079,0.08,Positive Sentiment
Bub's Cafe,3.741573033707865,0.065,0.208,Positive Sentiment
Three  Flags Tavern,4.0212765957446805,0.046,0.241,Positive Sentiment
Quality Inn & Suites,1.8571428571428568,0.097,0.11,Positive Sentiment
LUVI Restaurant,4.4,0.043,0.247,Positive Sentiment
Urban Igloo,4.0,0.038,0.124,Positive Sentiment
Q Nails Spa,5.0,0.0,0.136,Positive Sentiment
Zea Rotisserie and Grill,3.7948717948717934,0.047,0.256,Positive Sentiment
J Gilbert's Wood-Fired Steaks & Seafood St Louis,4.289256198347108,0.039,0.266,Positive Sentiment
Bluepoint Pool Service,3.4,0.081,0.108,Positive Sentiment
Tires Plus,4.75,0.024,0.194,Positive Sentiment
Emg Salons,5.0,0.058,0.238,Positive Sentiment
Kimberton Whole Foods - Collegeville,5.0,0.026,0.245,Positive Sentiment
Sherwood Kia,1.8,0.167,0.053,Negative Sentiment
Manny & Phil's Pub,4.0,0.038,0.175,Positive Sentiment
State Street Kitchen,4.365384615384615,0.043,0.267,Positive Sentiment
Grooming By House Of Phideau,4.0,0.058,0.115,Positive Sentiment
4:59 Barber Lounge,4.235294117647059,0.057,0.219,Positive Sentiment
T&T Supermarket,3.25,0.09,0.151,Positive Sentiment
DynaLife DX,3.0,0.06,0.13,Positive Sentiment
Mango's Cafe,5.0,0.0,0.603,Positive Sentiment
Red Roof Inn Tucson North - Marana,3.272727272727273,0.08,0.145,Positive Sentiment
Augusto's,4.464285714285714,0.03,0.264,Positive Sentiment
Westfall Roofing,5.0,0.024,0.267,Positive Sentiment
El Sitio,3.5135135135135136,0.045,0.187,Positive Sentiment
Arizona's Interior Innovations,5.0,0.026,0.179,Positive Sentiment
Manhattan Nails Salon,4.163265306122449,0.045,0.24,Positive Sentiment
Cosi,2.771428571428572,0.064,0.166,Positive Sentiment
Alpha K9 U,5.0,0.03,0.183,Positive Sentiment
Professional Nail,2.4,0.094,0.088,Negative Sentiment
Chester County Dentistry for Children - ExtonLionville,1.0,0.116,0.132,Positive Sentiment
Panda Pavilion of Audubon,4.5,0.019,0.225,Positive Sentiment
Starbucks,3.7777777777777777,0.045,0.237,Positive Sentiment
Sunflower Truck Stop,3.5,0.065,0.212,Positive Sentiment
Sterling Summit,1.5555555555555556,0.111,0.097,Negative Sentiment
Gallery Rinard,4.714285714285714,0.047,0.234,Positive Sentiment
Kuba ,4.075,0.045,0.241,Positive Sentiment
Kings Executive Limo & Car Service,5.0,0.0,0.396,Positive Sentiment
Riverbend Veterinary Clinic,5.0,0.052,0.214,Positive Sentiment
Rogo's Window Cleaning,5.0,0.0,0.298,Positive Sentiment
The Fresh Market,3.230769230769231,0.079,0.161,Positive Sentiment
Pizza 73,1.0,0.03,0.074,Positive Sentiment
Pauly's Bar Room,4.5,0.0,0.336,Positive Sentiment
Los Machetes Authentic Mexican Restaurant,4.5,0.0,0.227,Positive Sentiment
Starbucks,4.428571428571429,0.036,0.24,Positive Sentiment
"Nemours Children's Hospital, Delaware",4.875,0.034,0.256,Positive Sentiment
The Chiropractic Wellness Studio,5.0,0.0,0.191,Positive Sentiment
Satsuma Realtors,5.0,0.035,0.103,Positive Sentiment
vybe urgent care,4.833333333333333,0.031,0.286,Positive Sentiment
Dunkin',2.333333333333333,0.086,0.138,Positive Sentiment
Termagon Termite & Pest Control,3.0,0.041,0.14,Positive Sentiment
Vince Hee Roofing,5.0,0.038,0.151,Positive Sentiment
Provenance Soapworks,5.0,0.028,0.276,Positive Sentiment
Catelli Ristorante & Caffe,4.0,0.054,0.171,Positive Sentiment
Jose & Associates,3.8,0.076,0.155,Positive Sentiment
Da Vinci's,3.3076923076923075,0.054,0.181,Positive Sentiment
FR Auto Detail,4.0,0.07,0.232,Positive Sentiment
Florida Power Yoga,5.0,0.03,0.171,Positive Sentiment
7-Eleven,3.5,0.008,0.09,Positive Sentiment
City Center Park,5.0,0.015,0.28,Positive Sentiment
G & L Import Export,4.0,0.009,0.213,Positive Sentiment
Nato's Mexican Food,3.3529411764705883,0.069,0.184,Positive Sentiment
Batture,4.0,0.041,0.227,Positive Sentiment
Birchwood Farm,4.875,0.044,0.264,Positive Sentiment
Haggen Food & Pharmacy,2.6923076923076925,0.053,0.174,Positive Sentiment
Sports Illustrated,1.0,0.0,0.067,Positive Sentiment
Dreyer & Reinbold VW,2.333333333333333,0.071,0.101,Positive Sentiment
The Galman Group,2.0,0.093,0.076,Negative Sentiment
Aster's Floral Shop,4.125,0.032,0.129,Positive Sentiment
Cocoa's Restaurant & Lounge,2.6,0.053,0.17,Positive Sentiment
Taco Bell,2.7,0.098,0.12,Positive Sentiment
Nadine's Gin Joint,3.5789473684210527,0.046,0.256,Positive Sentiment
A1 RV Sales,2.333333333333333,0.081,0.079,Negative Sentiment
The UPS Store,3.0,0.026,0.13,Positive Sentiment
Belgravia Hub,4.0,0.025,0.254,Positive Sentiment
McDill's Irish Pub,4.0,0.068,0.269,Positive Sentiment
Scottish Rite Auditorium,5.0,0.027,0.279,Positive Sentiment
Oxford Beverage,3.6666666666666665,0.021,0.233,Positive Sentiment
Madre - Boutique Taqueria,4.344827586206897,0.031,0.275,Positive Sentiment
Five Guys,3.333333333333333,0.046,0.187,Positive Sentiment
Denny's,2.1333333333333333,0.087,0.122,Positive Sentiment
Barefoot Beach Hotel,3.625,0.061,0.175,Positive Sentiment
Turkey Creek Animal Hospital,4.0,0.06,0.219,Positive Sentiment
A-1 Video Games and Jewelry Exchange,3.4285714285714284,0.094,0.189,Positive Sentiment
Harper's Pub & Restaurant,3.909090909090909,0.04,0.246,Positive Sentiment
Hampton Inn & Suites Franklin Berry Farms,5.0,0.0,0.231,Positive Sentiment
Pump It Up - Tucson,4.071428571428571,0.06,0.233,Positive Sentiment
Cake Life Bake Shop,4.271604938271605,0.053,0.26,Positive Sentiment
Hot Diggity Dog,4.666666666666667,0.029,0.181,Positive Sentiment
Taqueria La Coyota 2,4.75,0.025,0.123,Positive Sentiment
Conn's HomePlus,5.0,0.061,0.226,Positive Sentiment
Creative World Childrens Academy,5.0,0.032,0.171,Positive Sentiment
Cecil Whittaker's Pizzeria,2.0,0.15,0.114,Negative Sentiment
Lush Fresh Handmade Cosmetics,4.526315789473684,0.045,0.277,Positive Sentiment
Beauty Branding Studios,5.0,0.091,0.284,Positive Sentiment
Little Caesars Pizza,2.5,0.093,0.077,Negative Sentiment
Aaron's Garage Doors,5.0,0.055,0.072,Positive Sentiment
Alvarez  Authentic Latin Food,4.083333333333333,0.067,0.188,Positive Sentiment
La Di Da Beauty Salon + Bride Bar,5.0,0.0,0.237,Positive Sentiment
Fill A Bagel & Breads,4.067796610169491,0.043,0.235,Positive Sentiment
Cellars of River Ridge,4.5,0.0,0.296,Positive Sentiment
Ko-Am Custom Tailor Shop,5.0,0.091,0.328,Positive Sentiment
Spot's Pet Supply & Dog Wash,4.8125,0.034,0.278,Positive Sentiment
Jimmy John's,4.666666666666667,0.072,0.225,Positive Sentiment
Mavis Discount Tire,2.6,0.096,0.041,Negative Sentiment
Blue Moon Gourmet Pizza,3.169491525423729,0.079,0.19,Positive Sentiment
Donut Palace,4.153846153846154,0.06,0.18,Positive Sentiment
So Fly Studio,5.0,0.03,0.345,Positive Sentiment
Domino's Pizza,1.0,0.038,0.137,Positive Sentiment
St. Luke's United Methodist Church,4.0,0.0,0.156,Positive Sentiment
Bobo's Sports Bar,4.208333333333333,0.027,0.261,Positive Sentiment
Moyer's Outdoor Power Equipment,4.0,0.021,0.092,Positive Sentiment
Snyder Ace Hardware,4.166666666666667,0.059,0.188,Positive Sentiment
Captain D's,3.333333333333333,0.063,0.178,Positive Sentiment
NorthStar Vets - Maple Shade,5.0,0.088,0.188,Positive Sentiment
Campus Club North,1.8,0.102,0.152,Positive Sentiment
Homegoods,4.636363636363637,0.025,0.227,Positive Sentiment
Dottie's Ice Cream Parlor,4.0,0.015,0.212,Positive Sentiment
SKYN,1.5,0.077,0.118,Positive Sentiment
Escape City,4.588235294117647,0.049,0.257,Positive Sentiment
St. Louis Bread,2.5,0.074,0.136,Positive Sentiment
Broadway Theatre of Pitman,4.7,0.067,0.247,Positive Sentiment
Bath & Body Works,3.4,0.018,0.135,Positive Sentiment
America's Best Contacts & Eyeglasses,2.5384615384615383,0.064,0.158,Positive Sentiment
Ochsner Total Health Solutions,5.0,0.041,0.189,Positive Sentiment
Value City Furniture,1.0,0.089,0.126,Positive Sentiment
4 Seasons Nails & Spa,2.5,0.098,0.107,Positive Sentiment
Global A'fare,3.923076923076923,0.048,0.229,Positive Sentiment
Stanley Service Bar,4.0,0.024,0.174,Positive Sentiment
Sheraton Metairie - New Orleans Hotel,3.85,0.053,0.271,Positive Sentiment
Parlor Suburban Square,3.3095238095238093,0.057,0.211,Positive Sentiment
Taste-D-Burger,3.5,0.039,0.231,Positive Sentiment
Smalls Tea and Coffee,5.0,0.025,0.212,Positive Sentiment
Chili'S Grill And Bar,2.25,0.031,0.065,Positive Sentiment
Michele Wilderman Freelance Hair and Makeup Artist,5.0,0.032,0.242,Positive Sentiment
Pennypack Flowers,3.4,0.081,0.123,Positive Sentiment
Matrix Hotel,3.421052631578948,0.06,0.212,Positive Sentiment
Tampa Bay Times,3.0,0.117,0.11,Negative Sentiment
Beauty 4 U,3.0,0.055,0.22,Positive Sentiment
Indiana City Brewing,4.026666666666666,0.03,0.247,Positive Sentiment
NOVA 535,4.380952380952381,0.036,0.274,Positive Sentiment
Five Guys,4.0,0.064,0.265,Positive Sentiment
Philadelphia Runner,4.7,0.02,0.229,Positive Sentiment
Bobeck's Sports Bar & Grill,3.6666666666666665,0.035,0.224,Positive Sentiment
Adolf Biecker SpaSalon,4.2631578947368425,0.056,0.215,Positive Sentiment
21st Amendment at La Louisiane,4.518716577540107,0.036,0.28,Positive Sentiment
Dollar General,1.0,0.127,0.186,Positive Sentiment
Desert Valley Dental,3.333333333333333,0.06,0.131,Positive Sentiment
Womb Service 3D4D Ultrasound Studio,4.888888888888889,0.031,0.263,Positive Sentiment
Supercuts,5.0,0.043,0.478,Positive Sentiment
Ice Cold Air Discount Auto Repair,5.0,0.023,0.144,Positive Sentiment
Del Rose Cafe,4.0,0.062,0.213,Positive Sentiment
Polo's Taqueria,4.375,0.019,0.224,Positive Sentiment
Speed City Cycle,1.0,0.047,0.0,Negative Sentiment
Harry Rosen West Edmonton Mall,3.0,0.054,0.182,Positive Sentiment
Willstan's Grille,2.6,0.099,0.14,Positive Sentiment
Eau Cafe,2.805555555555556,0.071,0.195,Positive Sentiment
Tryst Gastro Lounge,3.794701986754967,0.048,0.263,Positive Sentiment
Local Links,4.178571428571429,0.061,0.238,Positive Sentiment
Up In Smoke,5.0,0.0,0.453,Positive Sentiment
Apollo Burger,2.888888888888889,0.067,0.249,Positive Sentiment
Golden Capital Restaurant,2.75,0.08,0.204,Positive Sentiment
QuikTrip,4.0,0.048,0.227,Positive Sentiment
Wildflower Cafe,4.548672566371682,0.038,0.281,Positive Sentiment
Friendly Kia,4.40625,0.103,0.242,Positive Sentiment
The Wine Tap,4.275,0.033,0.252,Positive Sentiment
Healthy Tans Cherry Hill,3.0,0.056,0.143,Positive Sentiment
La-Z-Boy Furniture Galleries,2.5,0.086,0.047,Negative Sentiment
Christine's Tropical & Exotic Plants,5.0,0.025,0.192,Positive Sentiment
Parcels & Post,4.260869565217392,0.047,0.221,Positive Sentiment
Lizhi Health Spa,5.0,0.059,0.179,Positive Sentiment
Rosewood Lakes Golf Course,3.0,0.022,0.144,Positive Sentiment
El Camino Real,3.4403508771929823,0.068,0.212,Positive Sentiment
Oceanos Restaurant,3.333333333333333,0.08,0.188,Positive Sentiment
Waffle House,4.166666666666667,0.028,0.224,Positive Sentiment
Goodcents Deli Fresh Subs,5.0,0.0,0.28,Positive Sentiment
Bank of America Financial Center,5.0,0.0,0.145,Positive Sentiment
Naked Cyber Cafe & Espresso Bar,3.7142857142857135,0.051,0.15,Positive Sentiment
Priya Hot Yoga,4.681818181818182,0.025,0.263,Positive Sentiment
Diamond Heating & Cooling,5.0,0.031,0.223,Positive Sentiment
Las Trojes Mexican Restaurant,3.108695652173913,0.073,0.195,Positive Sentiment
Jump Family Entertainment Center,4.111111111111111,0.076,0.216,Positive Sentiment
Bonks Bar,3.727272727272727,0.05,0.216,Positive Sentiment
Mr. Wizard's Frozen Custard,4.047619047619048,0.044,0.224,Positive Sentiment
Riverview Room,4.5,0.032,0.245,Positive Sentiment
McDonald's,2.75,0.075,0.124,Positive Sentiment
Stefano's II Brick Oven Pizzeria,2.769230769230769,0.107,0.136,Positive Sentiment
No 1 China Chinese Restaurant,4.666666666666667,0.015,0.146,Positive Sentiment
Target,4.5,0.059,0.202,Positive Sentiment
Cat Doctors,4.0,0.058,0.222,Positive Sentiment
Pizza Hut,3.2,0.169,0.076,Negative Sentiment
Red Sombrero - Kennett Square,3.8125,0.039,0.263,Positive Sentiment
Pepo's Cuban Cafe,3.930232558139535,0.059,0.22,Positive Sentiment
JOANN Fabrics and Crafts,4.0,0.048,0.204,Positive Sentiment
Iris,3.880952380952381,0.054,0.227,Positive Sentiment
T-Fat's Auto Spa,3.0,0.056,0.107,Positive Sentiment
Kirby's Garage,5.0,0.089,0.165,Positive Sentiment
Paola Beauty Boutique,4.631578947368421,0.042,0.228,Positive Sentiment
Steve's Diner,2.0,0.055,0.139,Positive Sentiment
Pistachios Antiques & Collectibles,4.5,0.0,0.344,Positive Sentiment
Masterpiece Watch Restoration,5.0,0.0,0.277,Positive Sentiment
East Coast Jaguar,1.25,0.089,0.024,Negative Sentiment
CPR Cell Phone Repair St. Louis - Crestwood,5.0,0.063,0.129,Positive Sentiment
JB'S Island Cafe,4.233333333333333,0.068,0.256,Positive Sentiment
Teddy's Place,3.923076923076923,0.068,0.232,Positive Sentiment
Edwards Carpet & Floor Center,5.0,0.019,0.137,Positive Sentiment
Tat Starz,4.75,0.022,0.268,Positive Sentiment
Blackthorn Pub and Pizza,4.011764705882353,0.046,0.205,Positive Sentiment
Joe's Pizza,4.0,0.057,0.196,Positive Sentiment
Sylvan Park Restaurant,2.25,0.051,0.17,Positive Sentiment
Frist Art Museum Cafe,3.8,0.046,0.262,Positive Sentiment
Los Comales,4.0,0.053,0.187,Positive Sentiment
Edmonton Oilers,4.285714285714286,0.109,0.164,Positive Sentiment
Bello Nails,4.26530612244898,0.05,0.243,Positive Sentiment
Romanos Pizza Express,3.2222222222222223,0.063,0.16,Positive Sentiment
Salon Ya Ya,4.466666666666667,0.056,0.203,Positive Sentiment
Sun Laundromat,4.5,0.0,0.266,Positive Sentiment
Gingerly Packed,4.333333333333333,0.023,0.16,Positive Sentiment
McDonald's,1.5,0.065,0.04,Negative Sentiment
Chile Burrito,3.9069767441860463,0.071,0.189,Positive Sentiment
The Home Depot,2.0,0.11,0.059,Negative Sentiment
Black Tie Moving,4.2,0.054,0.2,Positive Sentiment
Sport Clips Haircuts of Riverview,4.0,0.078,0.215,Positive Sentiment
Cedar Park Cafe,4.173913043478261,0.044,0.229,Positive Sentiment
Colonial Frontiers,5.0,0.0,0.444,Positive Sentiment
Jake's Place,4.285714285714286,0.045,0.167,Positive Sentiment
That Little Bakery Cafe,4.6923076923076925,0.003,0.306,Positive Sentiment
Hamilton East Public Library - Fishers,3.5454545454545454,0.049,0.17,Positive Sentiment
Gators South Beer & Wine Garden,3.6666666666666665,0.038,0.203,Positive Sentiment
Mike's Air Conditioning,4.25,0.059,0.163,Positive Sentiment
Tucson Waldorf School,5.0,0.094,0.126,Positive Sentiment
Clusters Handcrafted Popcorn,4.56,0.034,0.27,Positive Sentiment
New China,4.0,0.032,0.224,Positive Sentiment
Peggs Restaurant On the Boulevard,3.869565217391304,0.051,0.216,Positive Sentiment
Weinhardt Party Rentals,1.7142857142857142,0.094,0.079,Negative Sentiment
Harold's Feed & Pet Supply,5.0,0.0,0.316,Positive Sentiment
Rum Runners,2.142857142857143,0.087,0.156,Positive Sentiment
Bob Evans,3.0,0.057,0.164,Positive Sentiment
Yogurt Court,2.0,0.091,0.062,Negative Sentiment
Pizza Hut,1.375,0.093,0.091,Negative Sentiment
Pat Moyer Wedding Photography and Films,5.0,0.021,0.2,Positive Sentiment
Just Cookies,2.4285714285714284,0.097,0.225,Positive Sentiment
Fantasy Nail Salon,3.0,0.021,0.182,Positive Sentiment
Desire Oyster Bar,3.957642725598527,0.045,0.248,Positive Sentiment
Angie's Restaurant,4.103448275862069,0.03,0.28,Positive Sentiment
Central Pizza,3.111111111111111,0.039,0.162,Positive Sentiment
Sally Starr's Pizza,4.0,0.027,0.124,Positive Sentiment
Bay Bayou RV Resort,4.666666666666667,0.017,0.188,Positive Sentiment
